CODIGO , CICLO    , ASIGNATURA                                        , Horas Teorica, Hora Practica, Total Horas, CREDITOS, PRERREQUISITO      
EG-181 , 1        , COMUNICACIÓN I                                    ,             3,             2,           5,        4, -                   
EG-182 , 1        , MATEMÁTICA BÁSICA                                 ,             2,             4,           6,        4, -                   
EG-183 , 1        , ESTRATEGIAS PARA EL APRENDIZAJE AUTÓNOMO          ,             3,             0,           3,        3, -                   
EG-184 , 1        , DESARROLLO PERSONAL Y LIDERAZGO                   ,             3,             0,           3,        3, -                   
EG-185 , 1        , DESARROLLO DE COMPETENCIAS DIGITALES              ,             2,             2,           4,        3, -                   
INE-186, 1        , MATEMÁTICA I                                      ,             4,             2,           6,        5, -                   
EG-281 , 2        , COMUNICACIÓN II                                   ,             2,             2,           4,        3, EG-181              
EG-282 , 2        , TERRITORIO PERUANO DEFENSA Y SEGURIDAD NACIONAL   ,             3,             0,           3,        3, -                   
EG-283 , 2        , FILOSOFÍA                                         ,             3,             0,           3,        3, -                   
INE-284, 2        , TÉCNICAS DE PROGRAMACIÓN                          ,             2,             4,           6,        4, -                   
INE-285, 2        , FÍSICA I                                          ,             3,             2,           5,        4, -                   
INE-286, 2        , MATEMÁTICA II                                     ,             4,             2,           6,        5, INE-186             
INE-381, 3        , ECONOMÍA                                          ,             3,             0,           3,        3, -                   
EG-382 , 3        , ÉTICA                                             ,             3,             0,           3,        3, EG-283              
INE-383, 3        , ESTADÍSTICA Y PROBABILIDADES                      ,             2,             2,           4,        3, -                   
SI-384 , 3        , ESTRUCTURA DE DATOS                               ,             2,             4,           6,        4, INE-284             
SI-385 , 3        , SISTEMAS DE INFORMACIÓN                           ,             2,             2,           4,        3, -                   
SI-386 , 3        , MATEMÁTICA DISCRETA                               ,             2,             4,           6,        4, INE-286             
SI-481 , 4        , MODELAMIENTO DE PROCESOS                          ,             2,             4,           6,        4, SI-385              
SI-482 , 4        , INGENIERÍA ECONÓMICA Y FINANCIERA                 ,             2,             2,           4,        3, INE-381             
SI-483 , 4        , INTERACCIÓN Y DISEÑO DE INTERFACES                ,             2,             2,           4,        3, -                   
INE-484, 4        , DISEÑO EN INGENIERÍA                              ,             2,             4,           6,        4, -                   
SI-485 , 4        , SISTEMAS ELECTRÓNICOS DIGITALES                   ,             2,             4,           6,        4, SI-386              
SI-486 , 4        , PROGRAMACIÓN I                                    ,             2,             4,           6,        4, SI-384              
SI-581 , 5        , ARQUITECTURA DE COMPUTADORAS                      ,             2,             4,           6,        4, SI-485              
SI-582 , 5        , DISEÑO DE BASE DE DATOS                           ,             2,             4,           6,        4, SI-481              
SI-583 , 5        , DISEÑO Y MODELAMIENTO VIRTUAL                     ,             2,             2,           4,        3, INE-484             
SI-584 , 5        , INGENIERÍA DE REQUERIMIENTOS                      ,             2,             4,           6,        4, SI-481              
SI-585 , 5        , INGENIERÍA DE SOFTWARE                            ,             2,             2,           4,        3, SI-483              
SI-586 , 5        , PROGRAMACIÓN II                                   ,             2,             4,           6,        4, SI-486              
EG-681 , 6        , ECOLOGÍA Y DESARROLLO SOSTENIBLE                  ,             3,             0,           3,        3, -                   
SI-682 , 6        , SISTEMAS OPERATIVOS I                             ,             2,             4,           6,        4, SI-581              
SI-683 , 6        , BASE DE DATOS I                                   ,             2,             4,           6,        4, SI-582              
