IdConvalidacion,Codigo,Nombre,Creditos,NotaExtranjera,NotaPeruana
C0001,CUR312,Curso Prueba 1,3,16.72,13.52
C0001,CUR989,Curso Prueba 2,5,18.50,18.86
C0002,CUR878,Curso Prueba 1,4,15.59,10.18
C0002,CUR892,Curso Prueba 2,4,19.91,11.01
C0003,CUR914,Curso Prueba 1,4,10.14,12.05
C0003,CUR388,Curso Prueba 2,4,19.68,18.59
C0004,CUR108,Curso Prueba 1,3,19.26,13.31
C0004,CUR511,Curso Prueba 2,4,17.52,13.86
C0005,CUR775,Curso Prueba 1,4,15.61,12.80
C0006,CUR318,Curso Prueba 1,3,14.76,18.18
C0006,CUR858,Curso Prueba 2,5,12.61,13.90
C0007,CUR209,Curso Prueba 1,3,10.39,10.61
C0008,CUR627,Curso Prueba 1,3,19.56,19.07
C0008,CUR250,Curso Prueba 2,5,11.32,10.74
C0009,CUR532,Curso Prueba 1,3,18.52,11.00
C0009,CUR705,Curso Prueba 2,3,14.06,10.83
C0009,CUR706,Curso Prueba 3,5,18.61,15.11
C0010,CUR393,Curso Prueba 1,3,10.61,14.08
C0010,CUR377,Curso Prueba 2,5,14.37,16.24
C0011,CUR104,Curso Prueba 1,3,13.12,14.76
C0012,CUR462,Curso Prueba 1,4,10.95,15.98
C0012,CUR928,Curso Prueba 2,5,16.63,19.45
C0013,CUR289,Curso Prueba 1,4,16.17,18.82
C0013,CUR989,Curso Prueba 2,3,11.86,19.28
C0014,CUR233,Curso Prueba 1,4,11.04,18.81
C0014,CUR994,Curso Prueba 2,4,13.40,16.86
C0014,CUR661,Curso Prueba 3,3,10.80,16.85
C0015,CUR263,Curso Prueba 1,4,19.61,19.69
C0015,CUR448,Curso Prueba 2,4,12.59,15.54
C0015,CUR757,Curso Prueba 3,5,10.19,10.72
C0016,CUR873,Curso Prueba 1,4,15.60,15.86
C0017,CUR160,Curso Prueba 1,5,18.73,13.28
C0018,CUR656,Curso Prueba 1,5,19.51,15.45
C0018,CUR384,Curso Prueba 2,4,19.76,10.42
C0019,CUR113,Curso Prueba 1,5,11.25,14.72
C0019,CUR294,Curso Prueba 2,4,14.49,17.91
C0020,CUR460,Curso Prueba 1,4,13.80,18.75
C0020,CUR495,Curso Prueba 2,4,18.56,17.61
C0021,CUR957,Curso Prueba 1,4,18.71,11.78
C0021,CUR492,Curso Prueba 2,4,14.04,13.84
C0022,CUR686,Curso Prueba 1,5,19.11,19.44
C0022,CUR626,Curso Prueba 2,5,13.72,19.50
C0022,CUR328,Curso Prueba 3,3,14.90,19.94
C0023,CUR185,Curso Prueba 1,5,19.74,12.61
C0024,CUR786,Curso Prueba 1,4,12.35,10.62
C0025,CUR775,Curso Prueba 1,3,17.88,10.32
C0025,CUR414,Curso Prueba 2,4,13.37,13.19
C0025,CUR114,Curso Prueba 3,4,16.93,17.16
C0026,CUR214,Curso Prueba 1,4,10.20,15.21
C0026,CUR910,Curso Prueba 2,4,15.17,16.84
C0026,CUR197,Curso Prueba 3,5,17.64,15.42
C0027,CUR399,Curso Prueba 1,4,16.67,12.20
C0028,CUR840,Curso Prueba 1,5,19.29,11.73
C0028,CUR653,Curso Prueba 2,5,18.17,16.23
C0029,CUR773,Curso Prueba 1,5,19.06,18.99
C0030,CUR655,Curso Prueba 1,4,15.97,18.61
C0030,CUR119,Curso Prueba 2,5,19.99,10.36
